Organization Name,Preferred Address Line 1,Borough,,Constituency Code,Constituent Specific Attributes R-Secondary Type Description
American Merchant Mariners Memorial,"Water's edge in Battery Park, adjacent to Pier A",M,R,Retail Space,A-Attractions & Landmarks
Bronx River Art Center,1087 E Tremont Ave.,X,I,Institutional Building,
Messiah's Reformed Fellowship,241 Water Street,M,R,Retail Space,C-Religious Institutions
Battery Park Synagogue,385 South End Avenue,M,R,Retail Space,C-Religious Institutions
Central Synagogue,652 Lexington Ave.,M,G,Religious Institution,C-Religious Institutions
New York Public Library,9 Murray Street,M,R,Retail Space,C-Public Library
Shooting Star Theater,40 Peck Slip,M,R,Retail Space,A-Theaters & Cinemas
Castle Clinton National Monument,1 Battery Park,M,R,Retail Space,A-Attractions & Landmarks
African Burial Ground National Memorial,290 Broadway,M,R,Retail Space,A-Attractions & Landmarks
"""Charging Bull"" at Bowling Green",Broadway at Bowling Green,M,R,Retail Space,A-Attractions & Landmarks
Fraunces Tavern Museum,54 Pearl Street,M,R,Retail Space,A-Museums & Performing Arts
John Street United Methodist Church,44 John Street,M,R,Retail Space,C-Religious Institutions
Park Slope United Methodist,410 6th Ave.,K,G,Religious Institution,C-Religious Institutions
Our Lady of Victory Church,60 William Street,M,R,Retail Space,C-Religious Institutions
Our Lady of Mount Carmel,275 N 8th St.,K,C,Commercial Property Owner,C-Religious Institutions
St. Peter's Roman Catholic Church,22 Barclay Street,M,R,Retail Space,C-Religious Institutions
Co-Cathedral of St. Joseph,856 Pacific St.,K,C,Commercial Property Owner,C-Religious Institutions
Wall Street Helicopter Tours,Pier 6,W,R,Retail Space,V-Sightseeing
National Museum of the American Indian,1 Bowling Green,M,R,Retail Space,A-Museums & Performing Arts
Regal Battery Park,102 North End Avenue,M,R,Retail Space,A-Theaters & Cinemas
New York City Police Museum,100 Old Slip,M,R,Retail Space,A-Museums & Performing Arts
Federal Hall National Memorial,26 Wall Street,M,R,Retail Space,A-Attractions & Landmarks
9/11 Memorial Preview Site,20 Vesey Street,M,R,Retail Space,A-Attractions & Landmarks
African American Art Gallery,105 Nassau Street,M,R,Retail Space,A-Museums & Performing Arts
Tribute WTC,120 Liberty Street,M,R,Retail Space,A-Museums & Performing Arts
Center for Castle Garden Immigration,1 Broadway,M,R,Retail Space,A-Museums & Performing Arts
Ellis Island National Museum,Ellis Island,E,R,Retail Space,A-Attractions & Landmarks
Wall Street Synagogue,47 Beekman Street,M,R,Retail Space,C-Religious Institutions
Riverdale Temple,4545 Independence Ave. ,X,C,Commercial Property Owner,C-Religious Institutions
Manhattan By Sail,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing
Poets House,10 River Terrace,M,N,Non-Profit,A-Museums & Performing Arts
Christian Cultural Center,12020 Flatlands Ave. ,K,B,DLMA Member,A-Museums & Performing Arts
Hostos Center for Arts ,450 Grand Concourse,X,R,Retail Space,A-Museums & Performing Arts
Universal Hip Hop Museum,555 Bergen,X,R,Retail Space,A-Museums & Performing Arts
Cannon's Walk,206 Front Street,M,R,Retail Space,A-Attractions & Landmarks
The River Vineyard Christian Fellowship,"250 Greenwich Street, ",M,R,Retail Space,C-Religious Institutions
New York Public Library,175 North End Avenue,M,R,Retail Space,C-Public Library
Bike & Roll Bike Rentals,"South Street Seaport, Pier 17",M,C,Corporation,V-Sightseeing
NY Waterway Tours,Pier A,M,R,Retail Space,V-Sightseeing
